country_name,country_code,pop_total,pop_density,GDP,basic_water,safe_water,basic_san,safe_san,C1_School closing_1,C1_School closing_2,C1_School closing_3,C2_Workplace closing_1,C2_Workplace closing_2,C2_Workplace closing_3,C3_Cancel public events_1,C3_Cancel public events_2,C4_Restrictions on gatherings_1,C4_Restrictions on gatherings_2,C4_Restrictions on gatherings_3,C4_Restrictions on gatherings_4,C5_Close public transport_1,C5_Close public transport_2,C6_Stay at home requirements_1,C6_Stay at home requirements_2,C6_Stay at home requirements_3,C7_Restrictions on internal movement_1,C7_Restrictions on internal movement_2,C8_International travel controls_1,C8_International travel controls_2,C8_International travel controls_3,C8_International travel controls_4,E1_Income support_1,E1_Income support_2,E2_Debt/contract relief_1,E2_Debt/contract relief_2,H1_Public information campaigns_1,H1_Public information campaigns_2,H2_Testing policy_1,H2_Testing policy_2,H2_Testing policy_3,H3_Contact tracing_1,H3_Contact tracing_2,H6_Facial Coverings_1,H6_Facial Coverings_2,H6_Facial Coverings_3,H6_Facial Coverings_4,StringencyIndex,GovernmentResponseIndex,ContainmentHealthIndex,EconomicSupportIndex,pct_fever_weighted,pct_cough_weighted,pct_difficulty_breathing_weighted,pct_fatigue_weighted,pct_stuffy_runny_nose_weighted,pct_aches_muscle_pain_weighted,pct_sore_throat_weighted,pct_chest_pain_weighted,pct_nausea_weighted,pct_anosmia_ageusia_weighted,pct_eye_pain_weighted,pct_headache_weighted,pct_chills_weighted,pct_cmnty_sick_weighted,pct_ever_tested_weighted,pct_tested_recently_weighted,pct_worked_outside_home_weighted,pct_grocery_outside_home_weighted,pct_ate_outside_home_weighted,pct_spent_time_with_non_hh_weighted,pct_attended_public_event_weighted,pct_used_public_transit_weighted,pct_direct_contact_with_non_hh_weighted,pct__all_time_weighted,pct_wear_mask_most_time_weighted,pct_wear_mask_half_time_weighted,pct_wear_mask_some_time_weighted,pct_wear_mask_none_time_weighted,pct_no_public_weighted,driving,walking,transit,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,prev_cases,total_cases,new_cases_percentages
Belarus,BLR,9466856,46.71950379,19943.29252,96.48397119,94.5213903,97.79095198,80.51576593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,13.89,25,29.17,0,4.026666667,14.48666667,5.72,37.08666667,15.54,16.85666667,11.06,7.4,4.276666667,3.803333333,10.42666667,7.38,11.74666667,32.01,13.83333333,3.483333333,41.35666667,71.23333333,28.57333333,55.25333333,14.25666667,32.91,60.68333333,27.43,19.26,15.97,6.263333333,20.18,4.966666667,,,,-4.666666667,6.333333333,63,-6.666666667,-14.66666667,-2.666666667,57936,59023,3
Singapore,SGP,5703569,7952.998418,101375.7753,100,100,100,100,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,81.48,82.14,83.33,75,0.536666667,5.32,1.39,11.58333333,8.17,11.81333333,2.52,1.46,2.076666667,0.453333333,2.993333333,9.893333333,1.266666667,4.526666667,4.823333333,0.333333333,24.79,52.60666667,23.74333333,9.576666667,1.18,26.45666667,11.28666667,78.28,4.613333333,0.81,0.303333333,0.06,9.796666667,,,,-62.66666667,-19,-60.66666667,-64,-65.33333333,41.66666667,23787,25346,3
Costa Rica,CRI,5047561,97.91306306,20434.40843,99.70151391,93.80279699,97.81836025,,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,73.61,63.99,66.32,50,1.716666667,9.586666667,3.696666667,14.45666667,16.44333333,13.98,10.68333333,4.43,4.85,1.65,8.936666667,24.13,4.486666667,7.686666667,5.803333333,2.576666667,25.50666667,58.89666667,8.546666667,33.51333333,3.096666667,18.6,32.53,67.72333333,11.19333333,1.93,1.323333333,0.58,11.69666667,,,,-60,-34,-61.33333333,-62.33333333,-36.66666667,20.33333333,9969,11114,3
South Africa,ZAF,58558270,47.63011978,12999.12026,92.67870194,,75.7470984,,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,76.85,79.76,80.56,75,3.916666667,12.81,3.566666667,14.72333333,26.44,15.00333333,8.563333333,5.553333333,5.64,3.123333333,7.81,24.93666667,6.676666667,10.24666667,14.12,2.44,35.92,65.30666667,35.05,48.08333333,9.27,15.07666667,38.96,72.84666667,12.87333333,2.566666667,0.746666667,0.273333333,4.363333333,59.49666667,58.54666667,,-39.33333333,-18.33333333,-33.66666667,-54,-16.66666667,16.33333333,58568,65736,3
Ghana,GHA,30417856,130.8214292,5636.95391,81.45338968,36.41161276,18.47216562,,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,52.78,55.36,64.58,0,5.153333333,11.61,2.353333333,19.51666667,16.66666667,21.55666667,5.42,6.616666667,6.813333333,3.79,11.44666667,29.70333333,4.816666667,9.483333333,18.40333333,4.683333333,47.03333333,55.6,28.99666667,47.43,37.86333333,38.80333333,44.10666667,43.57333333,28.80333333,5.846666667,2.986666667,0.853333333,5.95,,,,-1.666666667,7.333333333,-2.666666667,-5.666666667,1,6.666666667,41847,42210,1
Croatia,HRV,4067500,73.04937455,29973.42609,99.58666656,89.95941127,96.53844584,58.49694085,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,32.41,47.62,40.97,87.5,1.253333333,11.74333333,3.566666667,26.10333333,17.13,9.173333333,6.496666667,3.74,3.773333333,2.226666667,4.603333333,12.73666667,1.086666667,5.07,4.63,1.26,20.96666667,71.45,54.5,50.32333333,22.65666667,9.693333333,45.14666667,6.68,15.00666667,14.88,29.99333333,26.29,2.043333333,301.8033333,376.4533333,,17,16,238.6666667,-12.66666667,-22.66666667,1.333333333,3151,3272,2
Nicaragua,NIC,6545502,53.72704836,5631.201573,81.52476354,51.60051104,74.43473081,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,16.67,13.1,15.28,0,5.116666667,14.76,5.74,15.78,19.56666667,19.85333333,15.74666667,7.216666667,8.38,6.74,13.19,26.86333333,9.533333333,24.53333333,3.79,1.296666667,44.15666667,60.1,21.87666667,47.12333333,19.15,33.75,54.46,61.69666667,13.36,4.85,3.066666667,1.203333333,6.003333333,,,,-20.66666667,-11,-17,-24.33333333,-14.33333333,7.666666667,4494,4494,0
Belarus,BLR,9466856,46.71950379,19943.29252,96.48397119,94.5213903,97.79095198,80.51576593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,11.11,23.21,27.08,0,3.16,14.91,4.71,38.03,21.00333333,20.03666667,10.18,5.686666667,3.966666667,2.65,8.79,21.73666667,3.826666667,24.97333333,17.64,3.843333333,44.3,78.47666667,40.66666667,63.90333333,19.53666667,37.30666667,63.57,19.24,17.72666667,13.76333333,9.79,25.65333333,5.946666667,,,,-5,6,101.6666667,-6,-13.66666667,-7.666666667,65782,66095,2
Myanmar,MMR,54045420,82.23861548,5355.27019,81.77404853,,64.33268404,,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,76.85,64.88,75.69,0,3.893333333,8.056666667,5.086666667,9.076666667,9.266666667,10.66666667,5.786666667,4.636666667,4.633333333,3.866666667,8.45,12.90333333,5.51,14.75333333,13.03333333,6.67,43.38666667,44.56333333,36.67,28.26,16.2,14.55666667,30.27333333,33.71333333,26.81,11.54666667,1.2,3.016666667,8.17,,,,-10.66666667,-2.666666667,-8.666666667,-13.33333333,-11.33333333,9,350,351,0
Côte d'Ivoire,CIV,25716544,78.83405346,5455.360012,72.86894644,36.54910371,32.13490714,,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,57.87,57.14,58.33,50,8.28,11.14333333,2.946666667,42.28666667,15.48666667,26.81666667,7.983333333,9.3,6.826666667,8.65,6.243333333,23.75666667,9.783333333,7.73,18.18,8.73,58.97666667,50.61333333,36.35,44.71333333,23.07333333,47.45666667,38.76,38.24,32.01666667,6.463333333,4.05,1.926666667,3.88,,,,2.333333333,11.66666667,3.333333333,5.333333333,-7.666666667,6.333333333,10966,11504,1
